fromNode,toNode,dist
Moray Firth,Great Brit.,641.9820740273129
Firth of Forth,Great Brit.,427.5524972110534
Dogger Bank,Great Brit.,347.6073008695472
Hornsea,Great Brit.,250.81670164375177
Outer Dowsing,Great Brit.,166.8913683666211
Norfolk,Great Brit.,238.838737371671
East Anglia,Great Brit.,238.3697686257503
Borssele,Belgium,173.10197759762193
Borssele,Netherlands,165.9170767161929
Hollandsee Kust,Netherlands,113.11214877482412
Helgoländer Bucht,Netherlands,271.92769663286043
Helgoländer Bucht,Germany,439.0590203629367
Nordsøen,Denmark,138.73555195069827
Nordvest A,NO4,393.99988275245096
Nordvest C,NO3,212.4806837904705
Vestavind A,NO3,379.504980588766
Sønnavind A,NO2,173.0632840341113
Sørvest C,NO2,308.5528656504309
Nordvest B,NO3,244.98127312163925
Vestavind F,NO2,167.86310235010006
Sørvest E,NO2,237.2263585302841
Sørvest A,NO2,259.766776866508
Vestavind B,NO3,434.8483153551968
Vestavind C,NO5,141.64963293010976
Vestavind D,NO5,113.30104294613892
Sørvest F,NO2,292.9543607052769
Sørvest B,NO2,305.9965572083401
Nordavind B,NO4,580.2164686132563
Nordavind A,NO4,678.0156351888318
Nordavind D,NO4,369.0634268639256
Nordavind C,NO4,411.40205132293386
Vestavind E,NO2,203.18986420807224
Sørvest D,NO2,361.37576697569807
Energyhub EU,NO2,462.4264266319008
Energyhub EU,Great Brit.,542.5008724108989
Energyhub EU,Denmark,259.821659366145
Energyhub EU,Netherlands,333.8272481399706
Energyhub EU,Belgium,501.0442489125625
Energyhub EU,Germany,565.7944114254184
Energyhub North,NO2,355.1995244655156
Energyhub North,Great Brit.,681.4007493220496
Energyhub North,Denmark,542.9817013007425
Energyhub North,Netherlands,763.7116776142673
Energyhub North,Belgium,902.7949564988984
Energyhub North,Germany,1029.1464184116987
Energyhub Central,NO2,420.10514029515343
Energyhub Central,Great Brit.,491.82554938651657
Energyhub Central,Denmark,376.9704590396334
Energyhub Central,Netherlands,470.1656603308941
Energyhub Central,Belgium,614.0848315110735
Energyhub Central,Germany,750.8953832363433
