newOnshoreNode,toNode,dist
Moray Firth-Great Brit.,Great Brit.,662.3243840102
Firth of Forth-Great Brit.,Great Brit.,425.5292570179444
Dogger Bank-Great Brit.,Great Brit.,185.3728142701672
Hornsea-Great Brit.,Great Brit.,174.23980553866343
Outer Dowsing-Great Brit.,Great Brit.,145.6832167734197
Norfolk-Great Brit.,Great Brit.,204.79342440980858
East Anglia-Great Brit.,Great Brit.,210.06370725287326
Borssele-Belgium,Belgium,125.5781132817821
Borssele-Netherlands,Netherlands,140.1949711842065
Hollandsee Kust-Netherlands,Netherlands,76.96386015365933
Helgoländer Bucht-Netherlands,Netherlands,174.81220931300385
Helgoländer Bucht-Germany,Germany,402.38580135006936
Nordsøen-Denmark,Denmark,69.37815002783465
Nordvest A-NO4,NO4,342.7034561759853
Nordvest C-NO3,NO3,145.7008516745058
Vestavind A-NO3,NO3,330.80339469102614
Sønnavind A-NO2,NO2,123.06143089115217
Sørvest C-NO2,NO2,109.37439896990179
Nordvest B-NO3,NO3,136.09372044751586
Vestavind F-NO2,NO2,146.8240623507335
Sørvest E-NO2,NO2,109.29266742047119
Sørvest A-NO2,NO2,111.6183468081735
Vestavind B-NO3,NO3,396.6696618735605
Vestavind C-NO5,NO5,144.8661055073189
Vestavind D-NO5,NO5,87.09887431464047
Sørvest F-NO2,NO2,117.06213546513611
Sørvest B-NO2,NO2,109.82086652877588
Nordavind B-NO4,NO4,533.6733176699935
Nordavind A-NO4,NO4,605.8534052643406
Nordavind D-NO4,NO4,253.47269190615603
Nordavind C-NO4,NO4,338.28472008171326
Vestavind E-NO2,NO2,146.8240623507335
Sørvest D-NO2,NO2,117.17798284038584
Energyhub EU-NO2,NO2,120.83964828989582
Energyhub EU-Great Brit.,Great Brit.,192.3591821134938
Energyhub EU-Denmark,Denmark,100.25694164821427
Energyhub EU-Netherlands,Netherlands,160.801331292439
Energyhub EU-Belgium,Belgium,89.64482890927196
Energyhub North-NO2,NO2,146.8240623507335
Energyhub North-Great Brit.,Great Brit.,569.8214344216974
Energyhub North-Denmark,Denmark,94.51030154329943
Energyhub North-Netherlands,Netherlands,143.56929088334073
Energyhub North-Belgium,Belgium,125.73194325492913
Energyhub Central-NO2,NO2,117.15548532504693
Energyhub Central-Great Brit.,Great Brit.,213.68750420452653
Energyhub Central-Denmark,Denmark,72.78688968826815
Energyhub Central-Netherlands,Netherlands,143.54513275934823
Energyhub Central-Belgium,Belgium,86.33329399145165
